,Country_Other,Continent,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Tot_Cases_per_1_million_pop,Deaths_per_1_million_pop,Total_Tests,Tests_per_1_million_pop,Population
219,Solomon Islands,Australia/Oceania,18,, ,,14,4,,26,,"4,500","6,454","697,287 "
220,Western Sahara,Africa,10,,1 ,,8,1,,16,2,,,"606,409 "
221,MS Zaandam,,9,,2 ,,7,0,,,,,, 
222,Wallis and Futuna,Australia/Oceania,9,, ,,5,4,,810,,"1,202","108,142","11,115 "
223,Marshall Islands,Australia/Oceania,4,, ,,4,0,,67,,,,"59,439 "
224,Samoa,Australia/Oceania,3,, ,,2,1,,15,,,,"199,237 "
225,Micronesia,Australia/Oceania,1,, ,,1,0,,9,,,,"115,774 "
226,Vanuatu,Australia/Oceania,1,, ,,1,0,,3,,470,"1,508","311,581 "
227,China,Asia,"89,772",+9,"4,636 ",,"84,499",637,11,62,3,"160,000,000","111,163","1,439,323,776 "
228,Total:,North America,"32,404,817","+35,560","718,463","+1,063","21,644,999","10,041,355","26,054",,,,,
229,Total:,Asia,"24,092,334","+58,199","386,420",+669,"22,644,994","1,060,920","22,369",,,,,
230,Total:,South America,"16,939,823","+9,995","442,266",+229,"15,259,788","1,237,769","20,004",,,,,
231,Total:,Europe,"32,319,001","+75,431","768,786","+2,085","19,137,307","12,412,908","27,321",,,,,
232,Total:,Africa,"3,779,905","+4,390","98,713",+112,"3,307,963","373,229","2,440",,,,,
233,Total:,Australia/Oceania,"50,557",+8,"1,080",,"34,208","15,269",5,,,,,
234,Total:,,721,,15,,706,0,0,,,,,
235,Total:,All,"109,587,158","+183,583","2,415,743","+4,158","82,029,965","25,141,450","98,193","14,059.0",309.9,,,
