,Index_Name,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
340,BSESN,2019-09-30,38873.121094,38873.121094,38401.089844,38667.328125,38667.328125,49000.0,49000.0,-205.79297,-0.529,38647.17969,"September 30, 19",-0.0052899999999999996
341,BSESN,2019-09-27,39003.128906,39107.371094,38782.601563,38822.570313,38822.570313,39200.0,39200.0,-180.55859,-0.46299999999999997,38904.18099,"September 27, 19",-0.00463
342,BSESN,2019-09-26,38700.480469,39158.070313,38676.109375,38989.738281,38989.738281,33200.0,33200.0,289.25781,0.747,38941.30599,"September 26, 19",0.00747
343,BSESN,2019-09-25,39087.199219,39087.199219,38510.96875,38593.519531,38593.519531,28800.0,28800.0,-493.67969,-1.263,38730.5625,"September 25, 19",-0.012629999999999999
344,BSESN,2019-09-24,39135.28125,39306.371094,38913.058594,39097.140625,39097.140625,30600.0,30600.0,-38.14063,-0.09699999999999999,39105.52344,"September 24, 19",-0.0009699999999999999
345,BSESN,2019-09-23,38844.0,39441.121094,38674.039063,39090.03125,39090.03125,2800.0,2800.0,246.03125,0.633,39068.39714,"September 23, 19",0.00633
346,BSESN,2019-09-20,36214.921875,38378.019531,36085.738281,38014.621094,38014.621094,61000.0,61000.0,1799.69922,4.968999999999999,37492.79297,"September 20, 19",0.04969
347,BSESN,2019-09-19,36613.929688,36613.929688,35987.800781,36093.46875,36093.46875,31700.0,31700.0,-520.46094,-1.421,36231.73307,"September 19, 19",-0.014209999999999999
348,BSESN,2019-09-18,36621.378906,36712.988281,36465.921875,36563.878906,36563.878906,25400.0,25400.0,-57.5,-0.157,36580.92969,"September 18, 19",-0.00157
349,BSESN,2019-09-17,37169.460938,37169.558594,36419.089844,36481.089844,36481.089844,20500.0,20500.0,-688.37109,-1.8519999999999999,36689.91276,"September 17, 19",-0.01852
350,BSESN,2019-09-16,37204.558594,37302.058594,37028.941406,37123.308594,37123.308594,19900.0,19900.0,-81.25,-0.218,37151.4362,"September 16, 19",-0.00218
351,BSESN,2019-09-13,37175.859375,37413.5,37000.089844,37384.988281,37384.988281,34300.0,34300.0,209.12891,0.563,37266.19271,"September 13, 19",0.00563
